0.1552,0.02,0.23079999999999998,0.2248,0.0148,0.01,0.0048,0,0.4356,0,0.04,1,0,0.0064,0,11.279200000000001,0.16,3.3520000000000003,0,9.206,1.124,0.045599999999999995,0.032400000000000005,0,0.56,0,0,0,0,5545092,4592422.4,5031125.44,5242876,71.04,0,0,0,0,0,0,0,0,0.04,103212,6.32,169.12,194.96,0,0.04,0.44,5.4,180.02,0.32,189.36,0.056799999999999996,0.154,0,132084263.01788001,22128405.56,407.2272000000001,664.52,657.52,7,132116876.27555999,0.693,144.65107999999998,8827.32,8827.32,0,132115390.13304001,22023056.13,6446.377759999999,134071,134060,11,91528257.92,13431450.38,0.594,2,2,0,91528257.92,13431450.38,0.594,2,2,0,atune_collect-1758156317240.csv,2025/9/18 8:46
light_load
CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,PROCESS.SCHED.exec_start#python3,PROCESS.SCHED.vruntime#python3,PROCESS.SCHED.sum_exec_runtime#python3,PROCESS.SCHED.switches#python3,PROCESS.SCHED.voluntary_switches#python3,PROCESS.SCHED.involuntary_switches#python3,PROCESS.SCHED.exec_start#watchdogd,PROCESS.SCHED.vruntime#watchdogd,PROCESS.SCHED.sum_exec_runtime#watchdogd,PROCESS.SCHED.switches#watchdogd,PROCESS.SCHED.voluntary_switches#watchdogd,PROCESS.SCHED.involuntary_switches#watchdogd,PROCESS.SCHED.exec_start#tuned,PROCESS.SCHED.vruntime#tuned,PROCESS.SCHED.sum_exec_runtime#tuned,PROCESS.SCHED.switches#tuned,PROCESS.SCHED.voluntary_switches#tuned,PROCESS.SCHED.involuntary_switches#tuned,PROCESS.SCHED.exec_start#tail,PROCESS.SCHED.vruntime#tail,PROCESS.SCHED.sum_exec_runtime#tail,PROCESS.SCHED.switches#tail,PROCESS.SCHED.voluntary_switches#tail,PROCESS.SCHED.involuntary_switches#tail,PROCESS.SCHED.exec_start#tail.1,PROCESS.SCHED.vruntime#tail.1,PROCESS.SCHED.sum_exec_runtime#tail.1,PROCESS.SCHED.switches#tail.1,PROCESS.SCHED.voluntary_switches#tail.1,PROCESS.SCHED.involuntary_switches#tail.1,source_file,process_time
0.15,0,0.2808,0.3303999999999999,0.0144,0.0096,0,0,0.4548,0,0,1.04,0,0.006,0,4.2856000000000005,0,1.5196,0,5.4012,1.442,0.0292,0.0332,0.0032,0.56,0.06,0,0,0,5545092,4589968.16,5028853.76,5242876,7.36,0,0,0,0,0,0,0,0,0,103212,5.04,163.68,183.64,0,0,0.44,5.3,177.82,0.56,190.48,0.052000000000000005,0.126,0,132168059.19848001,22133591.460079998,416.09119999999996,758.52,751.52,7,132199647.90784,0.693,144.73492,8832.84,8832.84,0,132201312.7,22013048.06,6450.921159999999,134154.84,134143.84,11,91528257.92,13431450.38,0.594,2,2,0,91528257.92,13431450.38,0.594,2,2,0,atune_collect-1758156401064.csv,2025/9/18 8:47
light_load
CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,PROCESS.SCHED.exec_start#python3,PROCESS.SCHED.vruntime#python3,PROCESS.SCHED.sum_exec_runtime#python3,PROCESS.SCHED.switches#python3,PROCESS.SCHED.voluntary_switches#python3,PROCESS.SCHED.involuntary_switches#python3,PROCESS.SCHED.exec_start#watchdogd,PROCESS.SCHED.vruntime#watchdogd,PROCESS.SCHED.sum_exec_runtime#watchdogd,PROCESS.SCHED.switches#watchdogd,PROCESS.SCHED.voluntary_switches#watchdogd,PROCESS.SCHED.involuntary_switches#watchdogd,PROCESS.SCHED.exec_start#tuned,PROCESS.SCHED.vruntime#tuned,PROCESS.SCHED.sum_exec_runtime#tuned,PROCESS.SCHED.switches#tuned,PROCESS.SCHED.voluntary_switches#tuned,PROCESS.SCHED.involuntary_switches#tuned,PROCESS.SCHED.exec_start#tail,PROCESS.SCHED.vruntime#tail,PROCESS.SCHED.sum_exec_runtime#tail,PROCESS.SCHED.switches#tail,PROCESS.SCHED.voluntary_switches#tail,PROCESS.SCHED.involuntary_switches#tail,PROCESS.SCHED.exec_start#tail.1,PROCESS.SCHED.vruntime#tail.1,PROCESS.SCHED.sum_exec_runtime#tail.1,PROCESS.SCHED.switches#tail.1,PROCESS.SCHED.voluntary_switches#tail.1,PROCESS.SCHED.involuntary_switches#tail.1,source_file,process_time
0.16959999999999997,0,0.27,0.3556,0.024,0.0096,0,0,0.4732,0,0,1,0,0.0064,0,13.9332,0,3.0288,0,6.9639999999999995,1.412,0.0284,0.0332,0.0048,0.56,0.08,0,0,0,5545092,4590586.56,5029575.84,5242876,11.84,0,0,0,0,0,0,0,0,0,103212,5.92,169.36,190.56,0,0,0.48,5.8,188,0.32,190.84,0.12480000000000002,0.1268,0,132272670.53592,21853787.02,425.30564,841.52,833.52,8,132283620.03924,0.693,144.81392,8838.44,8838.44,0,132264154.44628,22134816.78,6455.48692,134238.68,134227.68,11,91528257.92,13431450.38,0.594,2,2,0,91528257.92,13431450.38,0.594,2,2,0,atune_collect-1758156484898.csv,2025/9/18 8:48
light_load
CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,PROCESS.SCHED.exec_start#python3,PROCESS.SCHED.vruntime#python3,PROCESS.SCHED.sum_exec_runtime#python3,PROCESS.SCHED.switches#python3,PROCESS.SCHED.voluntary_switches#python3,PROCESS.SCHED.involuntary_switches#python3,PROCESS.SCHED.exec_start#watchdogd,PROCESS.SCHED.vruntime#watchdogd,PROCESS.SCHED.sum_exec_runtime#watchdogd,PROCESS.SCHED.switches#watchdogd,PROCESS.SCHED.voluntary_switches#watchdogd,PROCESS.SCHED.involuntary_switches#watchdogd,PROCESS.SCHED.exec_start#tuned,PROCESS.SCHED.vruntime#tuned,PROCESS.SCHED.sum_exec_runtime#tuned,PROCESS.SCHED.switches#tuned,PROCESS.SCHED.voluntary_switches#tuned,PROCESS.SCHED.involuntary_switches#tuned,PROCESS.SCHED.exec_start#tail,PROCESS.SCHED.vruntime#tail,PROCESS.SCHED.sum_exec_runtime#tail,PROCESS.SCHED.switches#tail,PROCESS.SCHED.voluntary_switches#tail,PROCESS.SCHED.involuntary_switches#tail,PROCESS.SCHED.exec_start#tail.1,PROCESS.SCHED.vruntime#tail.1,PROCESS.SCHED.sum_exec_runtime#tail.1,PROCESS.SCHED.switches#tail.1,PROCESS.SCHED.voluntary_switches#tail.1,PROCESS.SCHED.involuntary_switches#tail.1,source_file,process_time
0.1748,0,0.24,0.4000000000000001,0.024,0.0052,0,0,0.444,0,0,1.28,0,0.0084,0,16.958,0,3.9044,0,7.797199999999999,1.404,0.0308,0.032400000000000005,0,0.56,0,0,0,0,5545092,4587096.64,5026207.68,5242876,15.84,0,0,0,0,0,0,0,0,0.04,103212,8.16,173.52,208.68,0,0,0.44,5.32,195.12,0.44,190.88,0.037599999999999995,0.0964,0,132348255.1,22063046.26,434.34088,934.52,926.52,8,132366990.51136002,0.693,144.88276,8844,8844,0,132347939.2,22135555.49,6459.92976,134322.48,134311.48,11,91528257.92,13431450.38,0.594,2,2,0,91528257.92,13431450.38,0.594,2,2,0,atune_collect-1758156568715.csv,2025/9/18 8:50
